my.site.num,max.pack.site,max.pack.spp,func.grp,study.site,study,"jumping.worms (Amynthus, metaphire, megascolecids)",area.sampled.m2,site.replicates,replicate.size.m2,collection.method,replicate.mindistance.m,site.mindistance,sampling.notes,sample.year,sample.month,latitude,longitude,country,state/province,dist.road,elevation,altitude.m.asl,habitat.type,dom.tree.spp,dom.tree,dom.veg.spp,dom.veg,annual.precip.mm,ph,ph.method,soil.moisture.pct,mean.july.tempc,mean.jan.tempc,mean.study.temp,soil.temp,mean.annu.soil.temp,organic.C.kg,organic.N,soil.organic.matter%,,funct.code,func.group,Dendrobaena octaedra,Lumbricus spp.,Aporrectodea spp.,Dendrobaena spp.,Lumbricus rubellus,Lumbricus terrestris,Octolasion tyrtaeum,Octolasion spp.,Aporrectodea caliginosa,Aporrectodea rosea,Bimastos rubidus,Unknown,Aporrectodea turgida,Lumbricus castaneus,Dendrodrilus spp.,Octolasion cyaneum,Amynthas agrestis,Eisenia teteadra,Amynthas spp.,Endogeic spp.,Allolobophora chlorotica,Amynthas tokioensis,Eisenia fetida,Eisenia hortensis,Aporrectodea longa,Eisenia lucens,Aporrectodea octaedra,Bimastos parvus,Epi-endogeic spp.,Epigeic spp.,Anecic spp.,row.totals,row.totalsA
606,600,,,SEA,"Cameron et al., 2007",N,1.5,6,0.25,Hand-sorted,10,50,,2004-2005,June-August,54.690178,-111.266117,Canada,Alberta,,,,Boreal forest,Populus tremuloides,Trembling aspen,,,389,,,,13.7,-11.9,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
637,601,,,WOR,"Cameron et al., 2007",N,1.5,6,0.25,Hand-sorted,10,50,,2004-2005,June-August,54.660497,-110.985475,Canada,Alberta,,,,Boreal forest,Populus tremuloides,Trembling aspen,,,389,,,,13.7,-11.9,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
652,602,,,2-1,"Richardson et al., 2015",N,0.25,1,,Hand-sorted,50,50,Upper Baker Pond,2013,September and October,43.906111,-71.994167,US,New Hampshire,100,284,,watershed,,Maple-Beech-Birch,,,NA,3.62,soil/water slurry,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
655,603,,,2-4,"Richardson et al., 2015",N,0.25,1,,Hand-sorted,50,50,Upper Baker Pond,2013,September and October,43.906111,-71.994167,US,New Hampshire,100,284,,watershed,Acer saccharum,Maple-Beech-Birch,,,NA,3.62,soil/water slurry,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
663,604,,,3-6,"Richardson et al., 2015",N,0.25,1,,Hand-sorted,50,50,Great Hosmer Pond,2013,September and October,44.692778,-72.370278,US,Vermont,100,373,,watershed,,Maple-Pine-Poplar,,,NA,3.93,soil/water slurry,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
664,605,,,4-1,"Richardson et al., 2015",N,0.25,1,,Hand-sorted,50,50,Lake Parker,2013,September and October,44.720278,-72.2425,US,Vermont,100,409,,watershed,,Maple-Fir-Spruce,,,NA,4.79,soil/water slurry,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
665,606,,,4-2,"Richardson et al., 2015",N,0.25,1,,Hand-sorted,50,50,Lake Parker,2013,September and October,44.720556,-72.246389,US,Vermont,100,413,,watershed,,Maple-Beech,,,NA,4.79,soil/water slurry,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
666,607,,,4-3,"Richardson et al., 2015",N,0.25,1,,Hand-sorted,50,50,Lake Parker,2013,September and October,44.722778,-72.245556,US,Vermont,100,402,,watershed,,Maple-Fir-Beech,,,NA,4.79,soil/water slurry,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
667,608,,,4-4,"Richardson et al., 2015",N,0.25,1,,Hand-sorted,50,50,Lake Parker,2013,September and October,44.711111,-72.231944,US,Vermont,100,419,,watershed,,Maple-Fir-Spruce,,,NA,4.79,soil/water slurry,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
668,609,,,4-5,"Richardson et al., 2015",N,0.25,1,,Hand-sorted,50,50,Lake Parker,2013,September and October,44.709444,-72.232222,US,Vermont,100,426,,watershed,,Maple-Fir-Beech,,,NA,4.79,soil/water slurry,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
676,610,,,6-1,"Richardson et al., 2015",N,0.25,1,,Hand-sorted,50,50,Curtis Pond,2013,September and October,44.393056,-72.491667,US,Vermont,100,434,,watershed,,Beech-Maple-Pine,,,NA,3.97,soil/water slurry,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
677,611,,,6-2,"Richardson et al., 2015",N,0.25,1,,Hand-sorted,50,50,Curtis Pond,2013,September and October,44.391667,-72.493333,US,Vermont,100,414,,watershed,,Beech-Maple-Pine,,,NA,3.97,soil/water slurry,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
681,612,,,6-6,"Richardson et al., 2015",N,0.25,1,,Hand-sorted,50,50,Curtis Pond,2013,September and October,44.391667,-72.493333,US,Vermont,100,414,,watershed,,Beech-Maple-Pine,,,NA,3.97,soil/water slurry,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
