my.site.num,study.site,study,"jumping.worms (Amynthus, metaphire, megascolecids)",area.sampled.m2,site.replicates,replicate.size.m2,collection.method,replicate.mindistance.m,site.mindistance,sampling.notes,sample.year,sample.month,latitude,longitude,country,state/province,dist.road,elevation,altitude.m.asl,habitat.type,dom.tree.spp,dom.tree,dom.veg.spp,dom.veg,annual.precip.mm,ph,ph.method,soil.moisture.pct,mean.july.tempc,mean.jan.tempc,mean.study.temp,soil.temp,mean.annu.soil.temp,organic.C.kg,organic.N,soil.organic.matter%,lum.spp.richness,native.spp.richness,jumping.spp.richness,spp.richness,Max.pack.num,Dendrobaena.octaedra,Lumbricus.unknown,Aporrect.unknown,Dendrobaena.unknown,Lumbricus.rubellus,en.Dendrobaena.aplina,a.Lumbricus.terrestris,Octalasion.tyrtaeum,Octalasian.unknown,Aporrectodea.caliginosa,Apporectodea.rosea,Aporrectodea.turgida (APTU),Bimastos.rubidus,Unknown,Lumbricus.castaneus,Dendrodrilus.unknown,Octolasion.cyaneum,Amynthas.agrestis,Eisenia.fetida,Allolobophora.chlorotica,Aporrectodea.longa,endo.unknown,Amynthas.unknown,Eisenoides.lonnbergi,Eisenia.teteadra,Amynthas.tokioensis,epi.unknown,epi/endo.unknown,Dendrodrilus.terrestris,Lumbricus.octaedra,anecic.unknown,row.totals
224,C150,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.36098,-91.2596,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,189,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
225,C200,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.36081,-91.2603,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,4.7,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,190,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
229,C400,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.36069,-91.2628,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,191,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
231,C500,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.36047,-91.264,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,192,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
232,D150,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.34594,-91.2652,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,193,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
235,D300,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.34618,-91.267,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,194,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
236,D350,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.34633,-91.2676,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,4.2,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,195,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
237,D400,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.3465,-91.2681,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,196,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
238,D450,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.34658,-91.2688,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,197,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
243,E200,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.37585,-91.2584,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,4.2,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,198,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
